Workload,Timestamp,CPU,Mem,Set
sort_run,1590500386,101.00,1.69,set5
sort_run,1590500387,101.00,1.73,set5
sort_run,1590500388,102.00,1.73,set5
sort_run,1590500389,92.00,1.74,set5
sort_run,1590500390,58.00,1.74,set5
sort_run,1590500391,97.00,1.74,set5
sort_run,1590500392,100.00,1.74,set5
sort_run,1590500393,101.00,1.74,set5
sort_run,1590500394,100.00,1.74,set5
sort_run,1590500395,105.00,1.74,set5
sort_run,1590500396,119.00,1.74,set5
sort_run,1590500397,101.00,1.74,set5
sort_run,1590500398,100.00,1.74,set5
sort_run,1590500399,101.00,1.74,set5
sort_run,1590500400,135.00,1.74,set5
sort_run,1590500401,107.00,1.74,set5
sort_run,1590500402,100.00,1.74,set5
sort_run,1590500403,101.00,1.74,set5
sort_run,1590500404,104.00,1.85,set5
sort_run,1590500405,340.00,2.07,set5
sort_run,1590500406,101.00,2.07,set5
sort_run,1590500407,101.00,2.07,set5
sort_run,1590500408,101.00,2.07,set5
sort_run,1590500409,107.00,2.07,set5
sort_run,1590500410,161.00,2.07,set5
sort_run,1590500411,100.00,2.07,set5
sort_run,1590500412,101.00,2.07,set5
sort_run,1590500413,104.00,2.07,set5
sort_run,1590500414,103.00,2.07,set5
sort_run,1590500415,163.00,2.07,set5
sort_run,1590500416,101.00,2.07,set5
sort_run,1590500417,100.00,2.07,set5
sort_run,1590500418,101.00,2.07,set5
sort_run,1590500419,105.00,2.07,set5
sort_run,1590500420,114.00,2.07,set5
sort_run,1590500421,102.00,2.07,set5
sort_run,1590500422,101.00,2.07,set5
sort_run,1590500423,101.00,2.07,set5
sort_run,1590500424,130.00,2.19,set5
sort_run,1590500425,100.00,2.19,set5
sort_run,1590500426,101.00,2.26,set5
sort_run,1590500427,102.00,2.26,set5
sort_run,1590500428,103.00,2.43,set5
sort_run,1590500429,156.00,2.54,set5
sort_run,1590500430,121.00,2.54,set5
sort_run,1590500431,101.00,2.61,set5
sort_run,1590500432,99.00,2.61,set5
sort_run,1590500433,106.00,2.78,set5
sort_run,1590500434,147.00,2.89,set5
sort_run,1590500435,100.00,2.89,set5
sort_run,1590500436,100.00,2.96,set5
sort_run,1590500437,108.00,2.96,set5
sort_run,1590500438,110.00,2.96,set5
sort_run,1590500439,123.00,2.96,set5
sort_run,1590500440,100.00,2.96,set5
sort_run,1590500441,102.00,2.96,set5
sort_run,1590500442,101.00,2.96,set5
sort_run,1590500443,146.00,2.96,set5
sort_run,1590500444,107.00,2.96,set5
sort_run,1590500445,101.00,2.96,set5
sort_run,1590500446,101.00,2.96,set5
sort_run,1590500447,101.00,2.96,set5
sort_run,1590500448,136.00,2.96,set5
sort_run,1590500449,118.00,2.96,set5
sort_run,1590500450,101.00,2.96,set5
sort_run,1590500451,101.00,2.96,set5
sort_run,1590500452,101.00,2.96,set5
sort_run,1590500453,130.00,2.96,set5
sort_run,1590500454,100.00,2.97,set5
sort_run,1590500455,100.00,2.97,set5
sort_run,1590500456,101.00,2.97,set5
sort_run,1590500457,143.00,2.97,set5
sort_run,1590500458,127.00,2.97,set5
sort_run,1590500459,101.00,2.98,set5
sort_run,1590500460,101.00,2.98,set5
sort_run,1590500461,106.00,2.98,set5
sort_run,1590500462,154.00,2.98,set5
sort_run,1590500463,101.00,2.98,set5
sort_run,1590500464,102.00,2.98,set5
sort_run,1590500465,100.00,2.98,set5
sort_run,1590500466,103.00,3.03,set5
sort_run,1590500467,457.00,3.39,set5
sort_run,1590500468,112.00,3.39,set5
sort_run,1590500469,100.00,3.39,set5
sort_run,1590500470,101.00,3.39,set5
sort_run,1590500471,104.00,3.39,set5
sort_run,1590500472,115.00,3.39,set5
sort_run,1590500473,110.00,3.39,set5
sort_run,1590500474,101.00,3.39,set5
sort_run,1590500475,107.00,3.39,set5
